Site ID,School District,Site Name,School Type,Survey Status,Survey Type,Year,Total Students,Vaccine,,Fully Immunized,In Process,Incomplete Record,Medical Exemption,No Record,Personal Exemption,Religious Exemption
13554,Denver County 1,Vista Academy High School,Regular,Completed,School,2018/2019,243,Tdap,0.872,0.955,0.000,0.041,0.000,0.004,0.000,0.000
13555,Falcon 49,Banning Lewis Preparatory Academy,Charter,Completed,School,2018/2019,576,Tdap,0.892,0.863,0.000,0.000,0.003,0.099,0.031,0.003
13559,School District 27J,FirstArt Christian Academy,Regular,Completed,School,2018/2019,,Tdap,0.844,1.000,0.000,0.000,0.000,0.000,0.000,0.000
13588,Harrison 2,School of Excellence,Regular,Completed,School,2018/2019,69,Tdap,0.833,0.957,0.043,0.000,0.000,0.000,0.000,0.000
13592,Charter School Institute,Colorado Early Colleges - Aurora,Charter,Completed,School,2018/2019,333,Tdap,0.691,0.694,0.000,0.285,0.000,0.000,0.012,0.009
13595,Cheyenne Mountain 12,Cheyenne Mountain Elementary,Regular,Completed,School,2018/2019,53,Tdap,0.988,0.925,0.000,0.000,0.000,0.075,0.000,0.000
13606,Douglas County RE 1,Renaissance Secondary School,Charter,Completed,School,2018/2019,369,Tdap,0.851,0.797,0.000,0.000,0.000,0.152,0.038,0.014
13610,Roaring Fork RE-1,Riverview School,Regular,Completed,School,2018/2019,134,Tdap,0.929,0.881,0.000,0.104,0.000,0.000,0.015,0.000
13616,Douglas County RE 1,Trinity Lutheran School - Franktown,Regular,Completed,School,2018/2019,21,Tdap,1.000,0.905,0.000,0.000,0.000,0.000,0.048,0.048
13617,Pueblo City 60,PSAS Jones,Charter,Completed,School,2018/2019,148,Tdap,0.944,0.811,0.000,0.047,0.000,0.088,0.041,0.014
13622,Boulder Valley RE 2,Shining Mountain Waldorf,Regular,Not Completed,School,2018/2019,,Tdap,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13623,Boulder Valley RE 2,Meadowlark School,Regular,Completed,School,2018/2019,139,Tdap,0.907,0.849,0.000,0.122,0.000,0.000,0.029,0.000
