Site ID,School District,Site Name,School Type,Survey Status,Survey Type,Year,Total Students,Vaccine,,Fully Immunized,In Process,Incomplete Record,Medical Exemption,No Record,Personal Exemption,Religious Exemption
10207,Colorado Springs 11,Taylor Elementary School,Regular,Completed,Kindergarten,2018/2019,27,DTaP,0.741,0.741,0.000,0.148,0.000,0.037,0.037,0.037
10208,Denver County 1,Teller Elementary School,Regular,Completed,Kindergarten,2018/2019,88,DTaP,0.636,0.864,0.000,0.045,0.000,0.091,0.000,0.000
10209,Telluride R-1,Telluride Elementary School,Regular,Completed,Kindergarten,2018/2019,57,DTaP,0.982,0.895,0.018,0.000,0.000,0.018,0.070,0.000
10214,Westminster Public Schools,Tennyson Knolls Elementary School,Regular,Completed,Kindergarten,2018/2019,45,DTaP,0.911,0.911,0.022,0.044,0.000,0.000,0.000,0.022
10219,Cheyenne Mountain 12,The Colorado Springs School,Regular,Completed,Kindergarten,2018/2019,19,DTaP,1.000,0.947,0.000,0.000,0.000,0.000,0.053,0.000
10221,Academy 20,The Da Vinci Academy School,Magnet,Completed,Kindergarten,2018/2019,71,DTaP,0.352,0.718,0.000,0.099,0.000,0.155,0.028,0.000
10222,Denver County 1,The Denver Waldorf School,Regular,Completed,Kindergarten,2018/2019,18,DTaP,1.000,0.889,0.000,0.000,0.056,0.000,0.000,0.056
10227,Charter School Institute,The Pinnacle Charter School Elementary,Charter,Completed,Kindergarten,2018/2019,144,DTaP,0.931,0.931,0.014,0.056,0.000,0.000,0.000,0.000
10230,Adams 12 Five Star Schools,The Studio School,Magnet,Completed,Kindergarten,2018/2019,39,DTaP,0.974,0.872,0.051,0.000,0.000,0.000,0.077,0.000
10232,Cheyenne Mountain 12,The Vanguard School K-12,Charter,Completed,Kindergarten,2018/2019,154,DTaP,0.909,0.916,0.000,0.019,0.026,0.039,0.000,0.000
10235,Charter School Institute,Thomas Maclaren School,Charter,Completed,Kindergarten,2018/2019,54,DTaP,1.000,0.778,0.000,0.000,0.000,0.000,0.185,0.037
10237,Jefferson County R-1,Thomson Elementary School,Regular,Completed,Kindergarten,2018/2019,39,DTaP,1.000,0.923,0.000,0.000,0.000,0.000,0.077,0.000
10238,Brush RE-2(J),Thomson Primary School,Regular,Completed,Kindergarten,2018/2019,110,DTaP,0.891,0.882,0.000,0.091,0.000,0.000,0.027,0.000
10240,Adams 12 Five Star Schools,Thornton Elementary School,Regular,Completed,Kindergarten,2018/2019,64,DTaP,0.969,0.922,0.016,0.016,0.000,0.000,0.047,0.000
10242,Mesa County Valley 51,Thunder Mountain Elementary School,Regular,Completed,Kindergarten,2018/2019,76,DTaP,0.566,0.711,0.000,0.224,0.000,0.053,0.013,0.000
10244,St Vrain Valley Re 1J,Thunder Valley Pk-8,Regular,Completed,Kindergarten,2018/2019,97,DTaP,0.825,0.948,0.000,0.010,0.000,0.000,0.041,0.000
10246,Douglas County RE 1,Timber Trail Elementary School,Regular,Completed,Kindergarten,2018/2019,32,DTaP,0.906,0.969,0.000,0.000,0.000,0.000,0.031,0.000
10247,Cherry Creek 5,Timberline Elementary School,Regular,Completed,Kindergarten,2018/2019,82,DTaP,0.768,0.951,0.000,0.012,0.000,0.012,0.024,0.000
10248,St Vrain Valley Re 1J,Timberline Pk-8,Regular,Completed,Kindergarten,2018/2019,74,DTaP,0.486,0.838,0.000,0.054,0.000,0.108,0.000,0.000
10250,Poudre R-1,Timnath Elementary School,Regular,Completed,Kindergarten,2018/2019,67,DTaP,1.000,0.940,0.000,0.000,0.015,0.000,0.030,0.015
10251,Adams-Arapahoe 28J,Tollgate Elementary School Of Expeditionary Learning,Regular,Completed,Kindergarten,2018/2019,84,DTaP,0.893,0.905,0.000,0.060,0.000,0.000,0.024,0.012
10252,Mesa County Valley 51,Tope Elementary School,Regular,Completed,Kindergarten,2018/2019,39,DTaP,0.795,0.795,0.000,0.103,0.000,0.051,0.051,0.000
10253,Windsor RE-4,Tozer Elementary School,Regular,Completed,Kindergarten,2018/2019,139,DTaP,0.978,0.935,0.014,0.000,0.007,0.014,0.029,0.000
10255,Colorado Springs 11,Trailblazer Elementary School,Regular,Completed,Kindergarten,2018/2019,49,DTaP,0.918,0.816,0.000,0.082,0.000,0.000,0.102,0.000
10256,Douglas County RE 1,Trailblazer Elementary School,Regular,Completed,Kindergarten,2018/2019,49,DTaP,0.918,0.939,0.000,0.000,0.000,0.020,0.041,0.000
10257,Cherry Creek 5,Trails West Elementary School,Regular,Completed,Kindergarten,2018/2019,67,DTaP,0.866,0.955,0.000,0.000,0.000,0.015,0.030,0.000
10258,Poudre R-1,Traut Core Elementary School,Regular,Completed,Kindergarten,2018/2019,80,DTaP,1.000,0.925,0.000,0.000,0.000,0.000,0.075,0.000
10259,Denver County 1,Traylor Academy,Regular,Completed,Kindergarten,2018/2019,61,DTaP,0.787,0.902,0.000,0.066,0.000,0.033,0.000,0.000
10260,Denver County 1,Trevista  At Horace Mann,Regular,Completed,Kindergarten,2018/2019,55,DTaP,0.782,0.927,0.000,0.036,0.000,0.036,0.000,0.000
10263,Fort Morgan RE-3,Trinity Lutheran School,Regular,Completed,Kindergarten,2018/2019,,DTaP,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
10264,Thompson R2-J,Truscott Elementary School,Regular,Completed,Kindergarten,2018/2019,50,DTaP,0.940,0.940,0.000,0.000,0.000,0.020,0.000,0.040
10265,Harrison 2,Turman Elementary School,Regular,Completed,Kindergarten,2018/2019,46,DTaP,0.826,0.783,0.022,0.130,0.000,0.000,0.043,0.022
10266,School District 27J,Turnberry Elementary,Regular,Completed,Kindergarten,2018/2019,123,DTaP,0.992,0.943,0.000,0.000,0.000,0.000,0.057,0.000
10268,Colorado Springs 11,Twain Elementary School,Regular,Completed,Kindergarten,2018/2019,59,DTaP,0.949,0.949,0.000,0.017,0.000,0.034,0.000,0.000
10269,Littleton 6,Twain Elementary School,Regular,Completed,Kindergarten,2018/2019,39,DTaP,0.949,0.872,0.000,0.026,0.000,0.000,0.077,0.026
10270,St Vrain Valley Re 1J,Twin Peaks Charter Academy,Charter,Completed,Kindergarten,2018/2019,41,DTaP,0.683,0.927,0.000,0.000,0.000,0.024,0.049,0.000
10271,Charter School Institute,Two Rivers Community School,Charter,Completed,Kindergarten,2018/2019,37,DTaP,0.730,0.730,0.000,0.054,0.000,0.108,0.081,0.027
10272,Jefferson County R-1,Two Roads Charter School,Charter,Completed,Kindergarten,2018/2019,28,DTaP,0.643,0.679,0.000,0.036,0.000,0.107,0.179,0.000
10274,Del Norte C-7,Underwood Elementary School,Regular,Completed,Kindergarten,2018/2019,27,DTaP,1.000,0.926,0.000,0.000,0.000,0.000,0.074,0.000
