Site ID,School District,Site Name,School Type,Survey Status,Survey Type,Year,Total Students,Vaccine,,Fully Immunized,In Process,Incomplete Record,Medical Exemption,No Record,Personal Exemption,Religious Exemption
10577,Brush RE-2(J),Brush Middle School,Regular,Completed,School,2018/2019,330,Varicella,0.845,0.945,0.000,0.030,0.006,0.000,0.015,0.003
10578,Denver County 1,Bryant Webster Dual Language Ece-8 School,Regular,Completed,School,2018/2019,410,Varicella,0.727,0.878,0.000,0.076,0.005,0.041,0.000,0.000
10579,Colorado Springs 11,Buena Vista Elementary School,Regular,Completed,School,2018/2019,170,Varicella,0.941,0.812,0.000,0.035,0.000,0.006,0.135,0.012
10580,Buena Vista R-31,Buena Vista High School,Regular,Completed,School,2018/2019,280,Varicella,0.843,0.857,0.000,0.079,0.004,0.000,0.050,0.011
10581,Douglas County RE 1,Buffalo Ridge Elementary School,Regular,Completed,School,2018/2019,447,Varicella,0.993,0.955,0.000,0.000,0.007,0.000,0.038,0.000
10582,Cherry Creek 5,Buffalo Trail Elementary School,Regular,Completed,School,2018/2019,688,Varicella,0.792,0.871,0.000,0.087,0.000,0.032,0.010,0.000
10583,St Vrain Valley Re 1J,Burlington Elementary School,Regular,Completed,School,2018/2019,390,Varicella,0.867,0.872,0.000,0.044,0.000,0.013,0.067,0.005
10584,Burlington RE-6J,Burlington Elementary School,Regular,Completed,School,2018/2019,273,Varicella,1.000,0.974,0.007,0.000,0.000,0.000,0.018,0.000
10585,Burlington RE-6J,Burlington High School,Regular,Completed,School,2018/2019,208,Varicella,1.000,0.966,0.000,0.000,0.000,0.000,0.034,0.000
10586,Burlington RE-6J,Burlington Middle School,Regular,Completed,School,2018/2019,233,Varicella,0.996,0.983,0.000,0.000,0.000,0.000,0.017,0.000
10587,Byers 32J,Byers Elementary School,Regular,Completed,School,2018/2019,276,Varicella,0.960,0.928,0.022,0.022,0.000,0.000,0.029,0.000
10588,Byers 32J,Byers Junior-senior High School,Regular,Completed,School,2018/2019,225,Varicella,0.960,0.929,0.013,0.009,0.000,0.000,0.049,0.000
10589,Monte Vista C-8,Byron Syring Delta Center,Alt. Ed,Completed,School,2018/2019,42,Varicella,0.857,0.881,0.000,0.119,0.000,0.000,0.000,0.000
10590,Poudre R-1,Cache La Poudre Elementary School,Regular,Completed,School,2018/2019,318,Varicella,1.000,0.928,0.003,0.000,0.003,0.000,0.060,0.006
10591,Poudre R-1,Cache La Poudre Middle School,Regular,Completed,School,2018/2019,309,Varicella,1.000,0.951,0.000,0.000,0.000,0.000,0.039,0.010
10592,Garfield RE-2,Cactus Valley Elementary School,Regular,Completed,School,2018/2019,460,Varicella,1.000,0.907,0.015,0.000,0.000,0.000,0.078,0.000
10593,Calhan RJ-1,Calhan Elementary School,Regular,Completed,School,2018/2019,188,Varicella,0.840,0.851,0.000,0.144,0.000,0.000,0.005,0.000
10594,Calhan RJ-1,Calhan High School,Regular,Completed,School,2018/2019,144,Varicella,0.799,0.847,0.000,0.139,0.000,0.000,0.014,0.000
10595,Calhan RJ-1,Calhan Middle School,Regular,Completed,School,2018/2019,109,Varicella,0.679,0.881,0.000,0.092,0.000,0.000,0.028,0.000
10596,Valley RE-1,Caliche Elementary School,Regular,Completed,School,2018/2019,135,Varicella,0.948,0.970,0.000,0.000,0.015,0.000,0.007,0.007
10597,Valley RE-1,Caliche Junior-senior High School,Regular,Completed,School,2018/2019,133,Varicella,0.962,0.970,0.000,0.015,0.008,0.000,0.008,0.000
10598,Jefferson County R-1,Campbell Elementary School,Regular,Completed,School,2018/2019,237,Varicella,0.987,0.941,0.000,0.004,0.000,0.000,0.055,0.000
10599,Valley RE-1,Campbell Elementary School,Regular,Completed,School,2018/2019,454,Varicella,0.989,0.965,0.000,0.004,0.000,0.004,0.022,0.004
10601,Campo RE-6,Campo Elementary School,Regular,Completed,School,2018/2019,18,Varicella,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
10602,Campo RE-6,Campo Undivided High School,Regular,Completed,School,2018/2019,21,Varicella,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
10603,Cherry Creek 5,Campus Middle School,Regular,Completed,School,2018/2019,1492,Varicella,0.865,0.961,0.000,0.023,0.001,0.003,0.008,0.003
10604,Canon City RE-1,Canon City High School,Regular,Completed,School,2018/2019,1038,Varicella,0.994,0.935,0.000,0.005,0.002,0.000,0.057,0.001
10605,Canon City RE-1,Canon City Middle School,Regular,Completed,School,2018/2019,399,Varicella,0.992,0.970,0.000,0.005,0.000,0.000,0.025,0.000
10607,Canon City RE-1,Canon Exploratory School,Regular,Completed,School,2018/2019,344,Varicella,1.000,0.910,0.000,0.000,0.003,0.000,0.087,0.000
10609,Cherry Creek 5,Canyon Creek Elementary School,Regular,Completed,School,2018/2019,493,Varicella,0.897,0.955,0.000,0.020,0.000,0.008,0.012,0.004
10610,Charter School Institute,Caprock Academy,Charter,Completed,School,2018/2019,845,Varicella,0.918,0.858,0.001,0.030,0.006,0.000,0.101,0.005
10611,St Vrain Valley Re 1J,Carbon Valley Academy,Charter,Completed,School,2018/2019,204,Varicella,0.902,0.922,0.000,0.015,0.005,0.000,0.059,0.000
10612,Roaring Fork RE-1,Carbondale Middle School,Regular,Completed,School,2018/2019,347,Varicella,0.991,0.928,0.003,0.003,0.023,0.000,0.037,0.006
10613,Weld County School District RE-3J,Cardinal Community Academy Charter School,Charter,Completed,School,2018/2019,182,Varicella,1.000,0.896,0.000,0.000,0.049,0.000,0.055,0.000
10615,Denver County 1,Career Education Center Early College,Regular,Completed,School,2018/2019,434,Varicella,0.940,0.968,0.000,0.025,0.002,0.005,0.000,0.000
10616,Pueblo City 60,Carlile Elementary School,Regular,Completed,School,2018/2019,212,Varicella,0.910,0.925,0.000,0.042,0.000,0.005,0.028,0.000
10617,Clear Creek RE-1,Carlson Elementary School,Regular,Completed,School,2018/2019,164,Varicella,0.982,0.939,0.000,0.000,0.006,0.000,0.037,0.018
10618,Harrison 2,Carmel Middle School,Magnet,Completed,School,2018/2019,364,Varicella,0.701,0.863,0.000,0.000,0.000,0.113,0.025,0.000
10619,Jefferson County R-1,Carmody Middle School,Regular,Completed,School,2018/2019,800,Varicella,0.898,0.968,0.001,0.011,0.003,0.005,0.013,0.000
10620,Thompson R2-J,Carrie Martin Elementary School,Regular,Completed,School,2018/2019,281,Varicella,0.947,0.922,0.000,0.011,0.000,0.004,0.060,0.004
