Site ID,School District,Site Name,School Type,Survey Status,Survey Type,Year,Total Students,Vaccine,,Fully Immunized,In Process,Incomplete Record,Medical Exemption,No Record,Personal Exemption,Religious Exemption
11560,El Paso County Child Care Facilities,Stratton Meadows Cpcd Child Care Center,Regular,Completed,Child Care/Preschool,2018/2019,49,DTaP,0.918,0.939,0.000,0.061,0.000,0.000,0.000,0.000
11561,Kit Carson County Child Care Facilities,Stratton R 4 Preschool,Regular,Completed,Child Care/Preschool,2018/2019,30,DTaP,1.000,0.967,0.000,0.000,0.000,0.000,0.033,0.000
11562,Arapahoe County Child Care Facilities,Summer Valley City Of Aurora Preschool,Regular,Completed,Child Care/Preschool,2018/2019,32,DTaP,1.000,0.969,0.000,0.000,0.000,0.000,0.000,0.031
11563,Summit County Child Care Facilities,Summit County Preschool,Regular,Completed,Child Care/Preschool,2018/2019,81,DTaP,1.000,0.988,0.000,0.000,0.000,0.000,0.012,0.000
11564,Summit County Child Care Facilities,Summit Cove Elementary Preschool,Regular,Completed,Child Care/Preschool,2018/2019,26,DTaP,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
11565,Teller County Child Care Facilities,Summit Pals Preschool,Regular,Completed,Child Care/Preschool,2018/2019,43,DTaP,1.000,0.837,0.000,0.000,0.000,0.000,0.140,0.023
11566,Arapahoe County Child Care Facilities,Summit Preschool,Regular,Completed,Child Care/Preschool,2018/2019,51,DTaP,0.902,0.961,0.000,0.020,0.000,0.000,0.020,0.000
11570,La Plata County Child Care Facilities,Sunnyside Preschool/durango Dist 9r Finance,Regular,Completed,Child Care/Preschool,2018/2019,31,DTaP,0.871,0.903,0.032,0.032,0.000,0.000,0.032,0.000
11573,Arapahoe County Child Care Facilities,Sunrise Preschool,Regular,Completed,Child Care/Preschool,2018/2019,55,DTaP,0.945,0.982,0.000,0.000,0.000,0.018,0.000,0.000
11575,Boulder County Child Care Facilities,Sunset Academy,Regular,Completed,Child Care/Preschool,2018/2019,101,DTaP,1.000,0.941,0.059,0.000,0.000,0.000,0.000,0.000
11576,Pueblo County Child Care Facilities,Sunset Park Preschool,Regular,Completed,Child Care/Preschool,2018/2019,38,DTaP,0.921,0.974,0.000,0.026,0.000,0.000,0.000,0.000
11578,Adams County Child Care Facilities,Sunset Ridge Elementary,Regular,Completed,Child Care/Preschool,2018/2019,16,DTaP,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
11579,Denver County Child Care Facilities,Sunshine Academy Llc,Regular,Completed,Child Care/Preschool,2018/2019,16,DTaP,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
11580,Larimer County Child Care Facilities,Sunshine House - Centerra,Regular,Completed,Child Care/Preschool,2018/2019,73,DTaP,1.000,0.822,0.178,0.000,0.000,0.000,0.000,0.000
11581,Larimer County Child Care Facilities,Sunshine House - Mckee,Regular,Completed,Child Care/Preschool,2018/2019,72,DTaP,1.000,0.972,0.028,0.000,0.000,0.000,0.000,0.000
11582,Boulder County Child Care Facilities,"Sunshine House Montessori School, Inc.",Regular,Completed,Child Care/Preschool,2018/2019,25,DTaP,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
11584,Weld County Child Care Facilities,"Superior Child Care, Inc.",Regular,Completed,Child Care/Preschool,2018/2019,28,DTaP,0.821,0.964,0.036,0.000,0.000,0.000,0.000,0.000
11586,Adams County Child Care Facilities,Sweet Pea Center For Early Learning,Regular,Completed,Child Care/Preschool,2018/2019,52,DTaP,1.000,0.962,0.000,0.000,0.000,0.000,0.038,0.000
11589,El Paso County Child Care Facilities,Tatum Cpcd Preschool,Regular,Completed,Child Care/Preschool,2018/2019,26,DTaP,0.923,0.962,0.000,0.000,0.000,0.000,0.000,0.038
11590,Jefferson County Child Care Facilities,Susan M Duncan Family Ymca Child Care,Regular,Completed,Child Care/Preschool,2018/2019,23,DTaP,0.913,0.913,0.000,0.043,0.000,0.043,0.000,0.000
11591,Mesa County Child Care Facilities,Taylor Preschool,Regular,Completed,Child Care/Preschool,2018/2019,26,DTaP,0.885,0.923,0.000,0.038,0.000,0.038,0.000,0.000
11592,Larimer County Child Care Facilities,Teaching Tree,Regular,Completed,Child Care/Preschool,2018/2019,48,DTaP,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
11593,Larimer County Child Care Facilities,Teaching Tree Early Childhood Learning Center,Regular,Completed,Child Care/Preschool,2018/2019,108,DTaP,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
11594,Montezuma County Child Care Facilities,Teddy Bear Preschool,Regular,Completed,Child Care/Preschool,2018/2019,85,DTaP,0.988,0.894,0.000,0.012,0.012,0.000,0.082,0.000
11595,San Miguel County Child Care Facilities,Telluride Early Childhood Center,Regular,Completed,Child Care/Preschool,2018/2019,31,DTaP,1.000,0.935,0.000,0.000,0.000,0.000,0.065,0.000
11596,San Miguel County Child Care Facilities,Telluride Preschool,Regular,Completed,Child Care/Preschool,2018/2019,13,DTaP,0.846,0.769,0.154,0.000,0.000,0.000,0.077,0.000
11597,Chaffee County Child Care Facilities,Temple Baptist Church / Son Shine Inn,Regular,Completed,Child Care/Preschool,2018/2019,39,DTaP,1.000,0.949,0.000,0.000,0.000,0.000,0.051,0.000
11598,Denver County Child Care Facilities,Temple Sinai Preschool,Regular,Completed,Child Care/Preschool,2018/2019,150,DTaP,0.967,0.967,0.000,0.000,0.000,0.000,0.033,0.000
11600,Gunnison County Child Care Facilities,Tenderfoot Child & Family Dvlpmnt Ctr,Regular,Completed,Child Care/Preschool,2018/2019,95,DTaP,0.716,0.768,0.000,0.137,0.000,0.011,0.084,0.000
11601,Adams County Child Care Facilities,Tennyson Knolls Elementary,Regular,Completed,Child Care/Preschool,2018/2019,16,DTaP,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
11602,Pueblo County Child Care Facilities,Thatcher Learning Center At Parkview,Regular,Completed,Child Care/Preschool,2018/2019,58,DTaP,1.000,0.931,0.069,0.000,0.000,0.000,0.000,0.000
11604,Jefferson County Child Care Facilities,The Academy Ece Of Arvada,Regular,Completed,Child Care/Preschool,2018/2019,161,DTaP,0.994,0.988,0.006,0.000,0.000,0.000,0.006,0.000
11605,Adams County Child Care Facilities,The Academy Ece Of Westminster,Regular,Completed,Child Care/Preschool,2018/2019,123,DTaP,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
11609,Denver County Child Care Facilities,The Baby Haven,Regular,Completed,Child Care/Preschool,2018/2019,24,DTaP,1.000,0.958,0.042,0.000,0.000,0.000,0.000,0.000
11610,Boulder County Child Care Facilities,The Bella Vita School,Regular,Completed,Child Care/Preschool,2018/2019,26,DTaP,0.615,0.769,0.000,0.000,0.038,0.000,0.192,0.000
11611,Lake County Child Care Facilities,The Center,Regular,Completed,Child Care/Preschool,2018/2019,98,DTaP,1.000,0.980,0.000,0.000,0.000,0.000,0.020,0.000
11612,Arapahoe County Child Care Facilities,The Children's Academy & Childcare Center,Regular,Completed,Child Care/Preschool,2018/2019,53,DTaP,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
11613,Broomfield County Child Care Facilities,"The Children's Center, Inc.",Regular,Completed,Child Care/Preschool,2018/2019,127,DTaP,1.000,0.984,0.000,0.000,0.000,0.000,0.016,0.000
11614,Weld County Child Care Facilities,The Children's Courtyard,Regular,Completed,Child Care/Preschool,2018/2019,154,DTaP,0.981,0.981,0.000,0.000,0.000,0.000,0.019,0.000
11616,Larimer County Child Care Facilities,The Childrens Workshop @ Grant St,Regular,Completed,Child Care/Preschool,2018/2019,96,DTaP,1.000,0.958,0.000,0.000,0.000,0.000,0.031,0.010
11617,Weld County Child Care Facilities,The Children's Workshop - Greeley,Regular,Completed,Child Care/Preschool,2018/2019,84,DTaP,0.976,0.976,0.000,0.000,0.000,0.000,0.024,0.000
11618,Larimer County Child Care Facilities,The Childrens Workshop @ Silverplume,Regular,Completed,Child Care/Preschool,2018/2019,66,DTaP,0.955,0.939,0.015,0.000,0.000,0.000,0.045,0.000
11619,El Paso County Child Care Facilities,The Colorado Springs School,Regular,Completed,Child Care/Preschool,2018/2019,22,DTaP,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
11621,Arapahoe County Child Care Facilities,The Cottage Preschool,Regular,Completed,Child Care/Preschool,2018/2019,69,DTaP,0.812,0.957,0.000,0.029,0.000,0.000,0.014,0.000
11622,Boulder County Child Care Facilities,The Cottage School - 805/797 30th ST,Regular,Not Completed,Child Care/Preschool,2018/2019,,DTaP,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11623,Boulder County Child Care Facilities,The Cottage School - 1941 N Terry ST,Regular,Completed,Child Care/Preschool,2018/2019,49,DTaP,1.000,0.959,0.041,0.000,0.000,0.000,0.000,0.000
11624,Boulder County Child Care Facilities,The Cottage School North,Regular,Completed,Child Care/Preschool,2018/2019,55,DTaP,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
11625,Yuma County Child Care Facilities,The Cub's Den,Regular,Completed,Child Care/Preschool,2018/2019,22,DTaP,1.000,0.818,0.045,0.000,0.000,0.000,0.136,0.000
11626,El Paso County Child Care Facilities,The Da Vinci Academy,Regular,Completed,Child Care/Preschool,2018/2019,28,DTaP,0.964,1.000,0.000,0.000,0.000,0.000,0.000,0.000
11627,Denver County Child Care Facilities,The Denver Waldorf Preschool,Regular,Completed,Child Care/Preschool,2018/2019,55,DTaP,1.000,0.727,0.000,0.000,0.000,0.000,0.255,0.018
